review_id,source,created_date,review_content,rating,author_masked,product_category
PLAY_11st_000082,google_play,2018-02-20,업뎃이후인지 계속멈추고 뜨지도않고,1,G*********,11번가
PLAY_11st_000083,google_play,2018-02-18,위메프로 옮겨야할듯,1,G*********,11번가
PLAY_11st_000084,google_play,2018-02-17,광고많고 배송도 별로 ;;;,2,G*********,11번가
PLAY_11st_000087,google_play,2018-01-28,좀더 저렴했으면 좋겠습니다,4,G*********,11번가
PLAY_11st_000088,google_play,2018-01-26,나의 현질을부르는 쇼킹딜...  너무저렴해서...좋은데.. 파산하겠어욬ㅋㄱㅋㅋㅋ,4,G*********,11번가
PLAY_11st_000089,google_play,2018-01-24,매일 사용 하다보니 손에 익어서 어려움없이 잘 쓰고 있어요,5,G*********,11번가
PLAY_11st_000093,google_play,2017-12-10,사용하기 불편해요 할인쿠폰 받으려는데 누르라는 상위 배너따위 보이지 않음... 페이지 내에서 되게 해주던가 그림으로 설명을 해놓던가 그정도 서비스는 제공되야 할 것 같네요,1,G*********,11번가
PLAY_11st_000094,google_play,2017-11-26,"11번가의 꽃 ""쇼킹딜"" ! 참  좋아요~^^",5,G*********,11번가
PLAY_11st_000095,google_play,2017-11-22,마이페이지에서 앱이 멈춰요...짜증나게,1,G*********,11번가
PLAY_11st_000097,google_play,2017-11-02,사고싶어도 장바구니버튼 누르면 파라미터 누락 메세지창이 떠서 구매할수없어요,1,G*********,11번가
PLAY_11st_000098,google_play,2017-11-02,업뎃후에 잦은 먹통과 제품 상세정보가 뜨지 않음 ㅡㅡ 왜 업뎃한거?,1,G*********,11번가
PLAY_11st_000099,google_play,2017-10-28,업글후 앱 아이콘을 찾을수가 없으~~!! 헐~,2,G*********,11번가
PLAY_11st_000100,google_play,2017-10-12,업데이트후 아주 불안정하네요 my 랑 혜택 들어가면  먹통이고 터치도 안먹히고 이번 업데이트는 실패입니다,2,G*********,11번가
PLAY_11st_000101,google_play,2017-10-06,업댓이후인건지 10월은 출첵이 한번도 되질않네요 자꾸 클릭하면 지난이벤트러고 나옵니다!!!!,1,G*********,11번가
PLAY_11st_000102,google_play,2017-09-24,업데이트 이후 아예 접속이 안되요~ 어떻게 사용하라는 거죠? 당황스럽네요~,1,G*********,11번가
